Gender;Age;Region;Attention to Desing;Role to Desing;Important aspects;Positive emotions;User Decisions;Aspect ;Positive color;Negative color;Color of education site;Reaction
Женский;27-30;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Голубой;Серый;Зеленый;Нейтрально
Мужской;18-21;Приволжский;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Зеленый;Красный;Положительно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Желтый;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Красный;Зеленый;Красный;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Голубой;Зеленый;Положительно
Женский;27-30;Северо-Западный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Серый;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Женский;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Голубой;Голубой;Отрицательно
Женский;18-21;Южный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Больше визуальных элементов;Голубой;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Желтый;Серый;Отрицательно
Мужской;22-26;Приволжский;Иногда;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Желтый;Серый;Зеленый;Нейтрально
Мужской;18-21;Южный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Голубой;Красный;Желтый;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Серый;Нейтрально
Мужской;22-26;Центральный;Иногда;Крайне важную;Визуальные элементы;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Серый;Желтый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Голубой;Зеленый;Положительно
Женский;31-35;Приволжский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Зеленый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Желтый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Серый;Желтый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Красный;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Серый;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Улучшенная читаемость текста;Зеленый;Голубой;Серый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Желтый;Зеленый;Серый;Нейтрально
Женский;22-26;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Серый;Серый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Улучшенная читаемость текста;Желтый;Красный;Зеленый;Нейтрально
Мужской;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Желтый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Серый;Красный;Голубой;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Серый;Положительно
Женский;18-21;Центральный;Постоянно;Умеренную;Качество изображения;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Красный;Зеленый;Серый;Нейтрально
Женский;18-21;Уральский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Красный;Красный;Отрицательно
